student_id,听课质量评级,是否隐性逃课
pjxyqxbj361,一般,否
pjxyqxbl878,游离,是
pjwrqxbj913,游离,否
pjxyqxbk297,游离,是
pjxsqxbj807,游离,是
pjxyqxbk151,一般,否
pjxyqxbk797,游离,否
pjxyqxbj589,一般,否
pjxyqxbk426,一般,否
pjxyqxbj571,一般,否
pjxyqxbk090,一般,否
pjxyqxbk319,游离,否
pjxyqxbk036,游离,否
pjxyqxbk681,一般,否
pjxyqxbj528,一般,否
pjxyqwbj191,游离,是
pjxyqwbk745,游离,否
pjxyqxbk539,一般,否
pjxyqwbk608,一般,否
pjxyqxbl673,一般,否
pjxyqxbj113,一般,否
pjxsqxbj912,游离,是
pjxqqxbj982,沉浸,否
pjxyqxbj255,一般,否
pjxyqxbj830,游离,否
pjxyqxbk974,一般,否
pjxyqxbj669,一般,否
pjxyqxbk572,游离,否
pjxuzsfj984,一般,否
pjxwxxbj946,游离,否
pjxyqwbj395,一般,否
pjxyqwbj935,一般,否
pjxyqxbk253,游离,是
pjxyqwbj998,一般,否
pjxyqwbj522,游离,是
pjxyqwbj739,一般,否
